Track Name @0 0ms C0 T0 [ control track ]
Text @0 0ms C0 T0 [ creator:  ]
Text @0 0ms C0 T0 [ GNU LilyPond 2.14.2            ]
Time Signature @0 0ms C0 T0 [ 4/4  metro: 18  32nds: 8 ]
Set Tempo @0 0ms C0 T0 [ mpqn: 750000 tempo: 80 ]
Program Change @0 0ms C0 T1 [ 0x28 ]
Instrument Name @0 0ms C0 T1 [ violin ]
Note On @12288 24000ms C1 T2 [ G-5(67) 0 ]
Note On @12288 24000ms C1 T2 [ B-5(71) 0 ]
Note On @12288 24000ms C1 T2 [ E-5(64) 0 ]
Note On @12288 24000ms C1 T2 [ A-5(69) 90 ]
Note On @12288 24000ms C1 T2 [ C-6(72) 90 ]
Note On @12288 24000ms C1 T2 [ E-6(76) 90 ]
Note On @12288 24000ms C1 T2 [ G-6(79) 90 ]
Note On @12288 24000ms C2 T3 [ G-5(67) 0 ]
Note On @12288 24000ms C2 T3 [ A-5(69) 90 ]
Note On @12480 24375ms C0 T1 [ A-5(69) 0 ]
Note On @12480 24375ms C0 T1 [ C-6(72) 90 ]
Note On @12672 24750ms C0 T1 [ C-6(72) 0 ]
Note On @12672 24750ms C0 T1 [ E-6(76) 90 ]
Note On @12672 24750ms C2 T3 [ A-5(69) 0 ]
Note On @12672 24750ms C2 T3 [ E-6(76) 90 ]
Note On @12864 25125ms C0 T1 [ E-6(76) 0 ]
Note On @12864 25125ms C0 T1 [ D-6(74) 90 ]
Note On @12864 25125ms C2 T3 [ E-6(76) 0 ]
Note On @12864 25125ms C2 T3 [ D-6(74) 90 ]
Note On @13056 25500ms C0 T1 [ D-6(74) 0 ]
Note On @13056 25500ms C0 T1 [ C-6(72) 90 ]
Note On @13056 25500ms C2 T3 [ D-6(74) 0 ]
Note On @13056 25500ms C2 T3 [ C-6(72) 90 ]
Note On @13248 25875ms C0 T1 [ C-6(72) 0 ]
Note On @13248 25875ms C0 T1 [ B-5(71) 90 ]
Note On @13248 25875ms C2 T3 [ C-6(72) 0 ]
Note On @13248 25875ms C2 T3 [ B-5(71) 90 ]
Note On @13440 26250ms C0 T1 [ B-5(71) 0 ]
Note On @13440 26250ms C0 T1 [ A-5(69) 90 ]
Note On @13440 26250ms C2 T3 [ B-5(71) 0 ]
Note On @13440 26250ms C2 T3 [ C-6(72) 90 ]
Note On @13632 26625ms C0 T1 [ A-5(69) 0 ]
Note On @13632 26625ms C0 T1 [ C-6(72) 90 ]
Note On @13824 27000ms C0 T1 [ C-6(72) 0 ]
Note On @13824 27000ms C0 T1 [ G-5(67) 90 ]
